player,surface,aces,dfs,first_in,serve_pts
Aldin Setkic,Grass,8.2,3.2,57.0,80.8
Aldin Setkic,Hard,5.68141592920354,3.5398230088495577,47.83185840707964,72.64601769911505
Alec Adamson,Hard,3.6666666666666665,7.0,43.0,71.66666666666667
Alec Beckley,Clay,4.0,3.5,37.0,65.5
Alec Beckley,Hard,2.0,4.75,35.75,63.25
Alec Deckers,Clay,10.0,4.444444444444445,45.77777777777778,81.44444444444444
Alec Deckers,Grass,9.0,3.0,37.0,54.0
Alec Deckers,Hard,4.0,2.0,35.0,51.0
Alejandro Aramburu,Clay,0.0,0.5,72.5,83.0
Alejandro Arcila,Clay,7.0,6.0,56.0,96.0
Alejandro Augusto Bueno,Hard,5.0,7.0,57.0,97.0
Alejandro Bancalari,Clay,1.0,2.3333333333333335,25.666666666666668,46.333333333333336
Alejandro Bancalari,Hard,1.0,3.0,23.0,39.0
Alejandro Davidovich Fokina,Clay,1.8,2.7466666666666666,52.76,77.72
Alejandro Davidovich Fokina,Grass,4.904761904761905,3.4285714285714284,61.142857142857146,94.33333333333333
Alejandro Davidovich Fokina,Hard,3.4923076923076923,2.4,50.36923076923077,76.95897435897436
Alejandro Fabbri,Clay,1.75,2.25,42.5,62.5
Alejandro Falla,Carpet,6.0,1.2,48.4,76.0
Alejandro Falla,Clay,2.5454545454545454,2.3766233766233764,43.98701298701299,74.11688311688312
Alejandro Falla,Grass,3.7222222222222223,2.685185185185185,54.7037037037037,86.12962962962963
Alejandro Falla,Hard,3.2748091603053435,3.019083969465649,43.02290076335878,74.71374045801527
Alejandro Gomez Gb42,Clay,7.230769230769231,5.589743589743589,38.282051282051285,69.05128205128206
Alejandro Gomez Gb42,Hard,7.043478260869565,4.934782608695652,41.91304347826087,73.43478260869566
Alejandro Gonzalez,Clay,2.796666666666667,2.18,44.54666666666667,72.18666666666667
Alejandro Gonzalez,Grass,6.666666666666667,1.3333333333333333,55.0,78.0
Alejandro Gonzalez,Hard,2.9826589595375723,2.3121387283236996,43.72254335260116,70.54335260115607
Alejandro Hernandez,Clay,3.96,4.0,43.36,72.52
Alejandro Hernandez,Grass,3.0,4.5,52.0,94.0
Alejandro Hernandez,Hard,5.555555555555555,4.0,39.0,72.0
Alejandro Hoyos Franco,Clay,1.411764705882353,3.411764705882353,39.294117647058826,63.411764705882355
Alejandro Hoyos Franco,Hard,0.0,1.0,37.0,56.0
Alejandro Jose Gandini,Clay,2.3333333333333335,4.333333333333333,29.0,48.333333333333336
Alejandro Jose Gomez Estrada,Clay,2.0,2.0,15.0,33.0
Alejandro Lopez Escribano,Hard,0.0,3.0,28.0,39.0
Alejandro Manzanera Pertusa,Clay,1.0,1.0,54.0,82.0
Alejandro Manzanera Pertusa,Hard,8.0,1.75,41.5,71.75
Alejandro Mateo Berge Nourescu,Clay,2.6666666666666665,2.0,35.666666666666664,63.0
Alejandro Mendoza,Clay,3.3076923076923075,6.384615384615385,35.42307692307692,66.88461538461539
Alejandro Mendoza,Hard,2.8,7.8,24.6,55.6
Alejandro Moreno Figueroa,Hard,2.5,4.75,27.0,53.75
Alejandro Moro Canas,Clay,2.5324675324675323,1.9090909090909092,49.42857142857143,73.62337662337663
Alejandro Moro Canas,Grass,4.285714285714286,1.7142857142857142,60.142857142857146,88.0
Alejandro Moro Canas,Hard,3.540983606557377,2.0655737704918034,50.83606557377049,77.11475409836065
Alejandro Tabilo,Clay,4.080188679245283,3.080188679245283,42.764150943396224,69.20283018867924
Alejandro Tabilo,Grass,7.590909090909091,3.772727272727273,53.36363636363637,85.4090909090909
Alejandro Tabilo,Hard,7.336065573770492,3.4508196721311477,45.84426229508197,73.4672131147541
Alejandro Turriziani Alvarez,Hard,1.0,4.666666666666667,39.0,60.333333333333336
Alejo Lorenzo Lingua Lavallen,Clay,1.6511627906976745,2.5348837209302326,43.348837209302324,68.04651162790698
Alejo Mancisidor,Clay,1.5,3.55,38.7,71.8
Alejo Mancisidor,Hard,10.75,6.25,45.5,103.25
Alejo Sanchez Quilez,Clay,1.125,1.625,42.375,69.25
Alejo Sanchez Quilez,Hard,0.5,5.666666666666667,41.333333333333336,76.83333333333333
Alejo Vilaro,Clay,1.75,6.25,51.5,84.5
Aleksandar Kitinov,Grass,1.0,5.0,29.0,48.0
Aleksandar Kitinov,Hard,5.0,2.0,31.0,59.0
Aleksandar Kovacevic,Clay,6.571428571428571,3.4285714285714284,45.714285714285715,81.17857142857143
Aleksandar Kovacevic,Grass,9.23076923076923,2.4615384615384617,54.0,83.92307692307692
Aleksandar Kovacevic,Hard,9.38425925925926,3.439814814814815,46.125,78.71296296296296
Aleksandar Vukic,Clay,6.28125,2.1041666666666665,40.84375,71.875
Aleksandar Vukic,Grass,9.057142857142857,1.7142857142857142,49.142857142857146,80.05714285714286
Aleksandar Vukic,Hard,8.695035460992909,2.25177304964539,42.59574468085106,73.41134751773049
Aleksander Orlikowski,Clay,1.0,4.0,41.0,71.0
Aleksander Slovic,Clay,1.0,3.0,31.0,55.0
Aleksander Woznicki,Clay,0.0,1.0,19.0,33.0
Aleksandr Agafonov,Hard,0.0,3.0,36.0,56.0
Aleksandr Braynin,Clay,3.611111111111111,4.722222222222222,42.888888888888886,67.5
Aleksandr Braynin,Hard,5.6923076923076925,6.153846153846154,49.23076923076923,78.07692307692308
Aleksandr Lobanov,Clay,2.4285714285714284,5.714285714285714,50.285714285714285,82.0
Aleksandr Lobanov,Hard,3.5,5.25,52.5,84.0
Aleksandr Nedovyesov,Carpet,4.75,2.25,30.75,50.75
Aleksandr Nedovyesov,Clay,3.690058479532164,1.9298245614035088,47.953216374269005,72.96491228070175
Aleksandr Nedovyesov,Grass,7.142857142857143,2.2857142857142856,53.57142857142857,77.71428571428571
Aleksandr Nedovyesov,Hard,4.905579399141631,1.9914163090128756,46.69527896995708,70.23175965665236
Aleksandre Bakshi,Hard,4.2592592592592595,3.4814814814814814,41.55555555555556,68.29629629629629
Aleksandre Metreveli,Clay,1.0416666666666667,4.166666666666667,42.125,67.33333333333333
Aleksandre Metreveli,Hard,2.576923076923077,3.3461538461538463,39.38461538461539,66.23076923076923
Aleksandre Shvangiradze,Hard,4.0,5.0,32.0,56.0
Aleksei Khomich,Clay,0.0,3.0,19.0,36.0
Aleksei Mokrov,Hard,1.0,5.0,29.0,62.0
Aleksi Lofman,Hard,4.5,3.75,30.25,53.5
Alen Avidzba,Clay,3.566666666666667,3.533333333333333,40.03333333333333,71.7
